Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",C_Rect_L7.0mm_W2.0mm_P5.00mm,10,0.1uF,
"C11, C12",CP_Radial_D5.0mm_P2.50mm,2,10uF,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N5817,
D3,LED_D5.0mm,1,POWER,
D4,LED_D5.0mm,1,LED,
D5,LED_D5.0mm,1,CARD,
D6,LED_D5.0mm,1,HALT,
J1,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B,
J2,PinHeader_1x06_P2.54mm_Horizontal,1,5V FTDI SERIAL,
J3,PinHeader_1x07_P2.54mm_Vertical,1,RTC (SparkFun BOB-10160),
J4,PinHeader_2x22_P2.00mm_Vertical,1,CFCARD/IDE,
J5,PadRow_1x25_P2.54mm,1,EXPANSION (F.Cu),
J6,PadRow_1x25_P2.54mm,1,EXPANSION (B.Cu),
JP1,PinHeader_1x03_P2.54mm_Vertical,1,POWER SELECT,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
"R4, R5, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k*,
RN1,R_Array_SIP7,1,10k,
SW1,SW_PUSH_6mm,1,RESET,
SW2,SW_PUSH_6mm,1,BTN1,
U1,DIP-16_W7.62mm_Socket,1,74HC139,
U2,DIP-14_W7.62mm_Socket,1,74HC14,
U3,DIP-64_W22.86mm_Socket,1,TMP68HC000P-12,
"U4, U6",DIP-32_W15.24mm_Socket,2,AS6C4008-55PCN,
"U5, U7",DIP-28_W15.24mm_Socket,2,28C256,
U8,DIP-40_W15.24mm_Socket,1,TL16C550,
X1,Oscillator_DIP-14,1,12MHz,
X2,Oscillator_DIP-8,1,12MHz,
