Designator,Mid X,Mid Y,Rotation,Layer
C1,45.72,-71.08,270.0,top
C10,147.32,-50.76,270.0,top
C11,146.685,-99.08,90.0,top
C12,153.035,-99.08,90.0,top
C2,53.38,-68.58,180.0,top
C3,53.38,-91.44,180.0,top
C4,66.675,-81.24,270.0,top
C5,78.105,-86.32,270.0,top
C6,99.06,-50.76,270.0,top
C7,110.49,-93.94,270.0,top
C8,121.92,-50.76,270.0,top
C9,133.985,-93.305,270.0,top
D1,52.07,-114.3,180.0,top
D2,52.07,-116.84,180.0,top
D3,135.255,-113.665,0.0,top
D4,142.24,-113.665,0.0,top
D5,149.225,-113.665,0.0,top
D6,156.21,-113.665,0.0,top
J1,164.465,-116.51,0.0,top
J2,159.385,-99.695,0.0,top
J3,144.78,-40.64,270.0,top
J4,164.0,-68.0,0.0,top
J5,99.06,-40.005,0.0,top
J6,99.06,-40.005,180.0,bottom
JP1,149.86,-108.585,90.0,top
R1,52.07,-119.38,180.0,top
R2,52.07,-121.92,180.0,top
R3,138.43,-97.79,0.0,top
R4,138.43,-100.33,180.0,top
R5,138.43,-102.87,180.0,top
R6,138.43,-105.41,0.0,top
R7,138.43,-107.95,0.0,top
RN1,155.575,-53.34,270.0,top
SW1,138.99,-123.48,180.0,top
SW2,152.325,-123.48,180.0,top
U1,52.07,-80.01,0.0,top
U2,52.07,-101.6,0.0,top
U3,72.39,-85.09,0.0,top
U4,99.06,-64.77,0.0,top
U5,99.06,-107.95,0.0,top
U6,121.92,-64.77,0.0,top
U7,121.92,-107.95,0.0,top
U8,144.78,-69.85,0.0,top
X1,52.07,-55.88,90.0,top
X2,52.07,-59.69,90.0,top
